LA,"43,903","43,103","47,515","43,952","48,933","41,762","41,806","44,410","44,280","52,035","45,154","48,963","44,471","46,853","47,391","44,767","46,468","46,249","43,848","48,193","47,834","50,812","47,231","44,783","42,132","44,077","43,689","44,529","40,870","43,758","40,949","44,191","44,729","46,141","42,700"
ME,"51,664","51,950","52,516","53,595","57,925","52,828","52,581","54,279","54,005","54,404","53,902","56,762","55,627","55,267","53,765","49,585","50,356","50,815","53,195","57,356","53,720","50,066","54,152","54,251","49,746","45,963","50,865","49,051","50,099","54,018","52,746","48,851","50,155","44,703","46,529"
MD,"81,084","75,346","76,146","78,942","73,099","68,787","76,838","75,232","72,336","73,513","72,715","77,782","77,597","76,141","74,285","69,894","77,074","74,296","77,846","77,048","75,389","71,322","68,662","65,760","64,320","66,905","63,893","65,040","70,881","68,938","73,023","72,386","65,528","65,655","66,945"
MA,"73,227","73,820","70,214","65,454","65,906","66,364","68,088","69,156","68,655","68,000","68,845","69,288","67,435","70,485","67,672","68,078","68,121","72,523","66,737","64,946","63,827","64,199","61,640","61,807","66,457","62,089","62,443","62,861","66,120","69,072","66,352","66,737","64,961","61,453","60,750"
MI,"57,700","58,319","56,083","53,901","59,622","51,437","53,498","53,390","52,140","52,677","56,824","58,511","59,290","57,796","54,971","60,152","58,365","62,522","64,966","68,022","63,037","59,187","61,220","58,366","57,898","54,715","55,416","56,530","54,610","58,907","58,879","57,342","56,966","52,814","51,750"
MN,"71,920","71,728","71,114","69,696","67,798","64,197","66,098","63,156","58,951","64,240","62,687","68,808","68,508","68,218","72,986","70,574","74,635","73,117","77,440","69,422","72,239","65,026","63,976","60,780","55,207","56,423","53,207","51,886","57,397","57,777","58,110","58,128","56,619","51,974","55,065"
MS,"43,441","41,983","41,426","36,816","34,085","43,056","39,192","44,882","42,996","40,175","41,597","44,182","42,332","41,366","45,213","43,726","42,197","41,861","48,960","47,934","43,893","43,538","41,636","42,522","41,679","37,174","35,327","34,278","36,808","38,123","36,292","38,321","35,357","35,758","34,770"
MO,"56,885","56,199","61,249","58,695","48,804","53,029","53,229","49,998","51,623","55,855","52,544","54,523","54,332","54,088","54,816","58,468","58,449","57,376","64,373","61,076","60,595","55,843","53,479","55,800","49,539","48,047","46,990","49,153","49,858","50,718","46,834","49,099","46,945","47,797","46,815"
MT,"59,087","58,302","53,177","52,965","45,534","46,516","48,227","43,994","46,511","46,313","48,963","51,738","50,098","46,950","44,173","45,570","47,598","44,589","46,787","45,808","47,596","44,628","44,768","44,475","45,340","44,342","45,554","43,698","42,640","45,349","44,413","42,380","43,526","44,087","44,023"
NE,"59,619","60,651","62,571","58,944","60,735","56,679","55,830","60,748","59,157","56,801","57,897","58,279","58,678","60,300","56,961","58,751","58,476","60,529","59,596","57,007","54,886","53,000","53,087","52,762","52,171","51,944","51,605","52,010","50,131","50,377","50,262","48,164","46,617","47,492","48,217"
NV,"56,550","56,623","53,812","51,694","54,646","47,820","50,629","51,384","57,688","58,908","62,481","64,067","63,720","60,660","61,408","60,368","61,430","63,016","65,317","61,191","59,924","59,358","60,151","57,818","58,861","59,995","54,799","57,973","58,415","56,160","55,904","55,636","56,135","50,706","58,084"
NH,"74,801","77,900","78,299","76,073","72,831","75,174","72,541","71,960","75,077","73,450","75,528","80,088","75,527","71,702","73,911","74,240","75,590","71,244","72,694","67,972","67,766","62,633","61,504","62,764","57,834","63,596","67,728","63,421","74,435","71,840","69,173","66,938","65,408","57,523","58,395"
NJ,"72,997","69,940","70,728","67,622","67,198","65,119","71,336","68,091","70,947","74,189","74,535","71,712","82,948","79,735","71,907","74,879","74,561","71,854","71,950","73,401","75,103","73,363","74,085","70,380","69,378","67,845","66,979","70,491","70,657","74,880","72,494","70,877","67,907","67,494","62,591"
